x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
978.503,1976.65,1651.331,1883.839,387.633,1777.856,1574.736,1522.455,901.402,1244.854,303.167,1299.217,1629.008,967.714,549.238,761.752,765.245,934.948,858.225,312.255,348.829,378.815,1668.346,171.98
976.269,1981.948,1652.512,1883.556,388.386,1778.678,1576.753,1523.386,900.582,1245.264,309.22,1299.36,1630.568,969.177,550.794,763.992,754.689,925.103,858.518,310.522,349.068,384.385,1668.975,173.042
975.153,1984.192,1651.258,1880.729,388.168,1779.22,1576.863,1523.787,898.705,1245.226,313.811,1299.257,1631.205,969.212,550.643,764.713,743.572,907.992,858.286,310.082,348.22,388.271,1669.601,173.236
972.321,1985.799,1650.128,1878.638,386.723,1778.641,1574.577,1522.731,896.862,1244.684,319.057,1297.972,1630.22,968.816,550.698,765.535,732.904,893.8,857.761,310.883,346.399,392.6,1668.456,173.618
972.597,1988.158,1650.698,1877.308,388.78,1779.816,1578.107,1524.071,895.301,1244.305,319.729,1298.542,1629.129,970.018,551.695,766.261,731,886.266,859.051,310.346,343.464,396.226,1669.974,173.885
971.112,1988.223,1648.977,1876.071,386.5,1779.892,1578.313,1523.95,893.5,1243.798,319.394,1298.071,1628.001,980.157,551.075,766.207,728.419,880.399,858.24,310.673,341.385,400.353,1668.572,173.918
971.011,1989.72,1649.206,1874.9,384.91,1780.116,1577.892,1524.425,893.787,1244.094,322.029,1298.493,1631.58,984.554,551.584,766.942,726.24,875.654,859.239,311.627,343.365,402.025,1669.103,174.916
970.234,1990.21,1649.236,1873.874,385.209,1780.819,1577.754,1524.232,890.87,1244.772,320.55,1298.29,1632.376,986.004,551.326,767.361,724.977,872.705,861.627,315.169,350.532,409.798,1668.609,174.114
965.771,1992.501,1648.12,1872.132,383.929,1780.952,1577.815,1524.259,875.373,1243.117,323.547,1298.001,1631.62,986.006,nan,nan,723.405,869.175,863.902,320.557,356.343,415.826,1667.802,174.219
971.873,1989.094,1648.212,1871.679,384.38,1782.007,1577.401,1524.567,864.971,1241.019,324.861,1297.728,1632.085,986.555,549.175,779.473,723.256,868.045,864.719,323.481,356.733,420.082,1668.321,174.777
970.429,1990.011,1647.337,1870.855,384.032,1782.05,1576.707,1524.286,857.11,1240.21,326.468,1297.835,1630.926,986.128,557.226,791.594,722.208,866.323,866.38,329.462,355.753,424.306,1667.381,174.944
970.029,1991.087,1648.028,1870.427,384.51,1782.298,1578.601,1525.258,854.889,1240.569,327.553,1298.058,1632.055,987.014,557.899,795.135,723.105,866.646,867.227,329.418,355.532,427.403,1668.1,175.008
957.556,1999.181,1646.992,1869.706,384.337,1782.339,1578.312,1524.716,850.789,1239.713,329.047,1297.492,1631.156,986.437,558.144,798.034,722.183,865.001,867.225,330.759,353.379,429.996,1667.269,175.09
958.272,1999.872,1651.804,1879.225,385.296,1783.064,1578.86,1525.208,849.414,1240.011,329.978,1297.426,1631.807,986.502,558.712,799.769,722.643,864.135,868.405,331.627,352.847,433.227,1667.658,174.814
956.483,2001.815,1649.756,1867.126,385.321,1782.765,1578.694,1525.089,847.37,1239.438,329.889,1296.81,1631.304,986.414,558.093,800.736,721.972,863.289,867.818,331.614,349.393,435.05,1665.689,176.751
953.211,2003.92,1644.714,1859.281,384.186,1783.356,1578.834,1525.296,845.894,1239.727,334.351,1296.075,1631.132,986.627,558.08,801.41,721.779,862.519,868.521,332.757,348.547,438.04,1660.934,176.7
951.644,2005.655,nan,nan,384.311,1783.71,1579.193,1525.62,842.808,1239.694,321.22,1290.218,1631.409,986.752,558.26,802.483,722.132,862.235,868.299,332.41,343.477,428.381,1657.454,176.229
950.337,2005.707,1640.826,1846.674,384.537,1783.484,1578.102,1525.24,840.571,1239.261,319.71,1280.083,1630.517,986.386,558.034,803.609,721.143,861.138,868.078,333.009,352.968,414.61,1654.425,175.856
949.595,2006.385,1641.356,1845.986,384.07,1784.055,1579.385,1525.639,840.163,1239.129,319.952,1275.417,1634.072,987.129,558.457,803.829,721.956,861.245,869.266,333.581,362.917,403.965,1654.113,176.187
935.01,2015.571,1640.564,1842.787,385.871,1785.05,1578.751,1525.302,838.67,1238.489,318.471,1273.215,1650.887,986.421,557.745,804.163,719.438,851.101,868.906,333.672,369.345,397.893,1652.799,176.168
923.544,2012.457,1640.639,1841.451,389.122,1789.891,1579.071,1525.586,837.495,1239.146,317.983,1271.473,1657.486,986.162,558.654,804.896,717.874,834.219,869.822,334.01,370.696,397.256,1652.129,176.319
